role_id,role_title,masco_code,masco_source_page_pdf,rated_task_count,remote_capable_tasks,remote_onsite_tasks,remote_unclear_tasks,remote_pre_rating,ai_exposable_tasks,ai_exposure_share,ai_pre_rating,independent_raters_required,reconciliation_status,release_use,task_source_level,source_url
M214606,Hydraulics Engineer,214606,,10,6,2,2,low,3,0.3,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2146-06
M214607,Water Management Engineer,214607,,5,4,0,1,medium,2,0.4,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2146-07
M214608,Pipeline Mechanical Engineer,214608,,9,2,1,6,low,4,0.4444,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2146-08
M214609,Pipe Stress Engineer,214609,,8,5,0,3,medium,5,0.625,high,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2146-09
M214610,Blasting Expert (Mine),214610,,10,3,0,7,medium,3,0.3,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2146-10
M214901,Explosive Ordnance Engineer,214901,,8,2,1,5,low,2,0.25,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2149-01
M214902,Marine Salvage Engineer,214902,,10,2,1,7,low,1,0.1,low,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2149-02
M214904,Industrial Health and Safety Engineer,214904,,8,4,0,4,medium,3,0.375,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2149-04
M214905,Field Service Engineer,214905,,8,1,5,2,low,3,0.375,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2149-05
M214906,Research Engineer,214906,,10,9,1,0,low,5,0.5,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2149-06
M214907,Biomedical Engineer,214907,,9,1,4,4,low,3,0.3333,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2149-07
M214908,Optical Engineer,214908,,7,6,0,1,medium,4,0.5714,medium,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2149-08
M214909,Quality Assurance/Quality Control Inspection Engineer (QA/QC),214909,,8,3,0,5,medium,5,0.625,high,2,pending,research_pre_rating_only,exact_occupation,https://emasco.mohr.gov.my/masco/2149-09
