role_id,masco_code,role_title,locale,role_standard,crosswalk_status,crosswalk_confidence,mapped_masco2020_code,mapped_masco2020_title,global_sources,global_match_count,global_anchor_count,question_count,linked_open_qa_count,role_source_url,role_license_status
M131201,131201,Aquaculture and Fisheries Production/Operation Manager,en-MY,MASCO 2020,retained,medium,131202,"Production and Operation Manager, Fishery",ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320,official_source_rights_review_required_for_external_bulk_redistribution
M132101,132101,Manufacturing Manager,en-MY,MASCO 2020,retained,high,132101,Manufacturing Manager,ESCO 1.2.1; NOC 2021 Version 1.0; OSCA 2024 Version 1.0,3,14,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320,official_source_rights_review_required_for_external_bulk_redistribution
M132102,132102,Electrical Manager,en-MY,MASCO 2020,retained,high,132104,Electrical Manager,ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321,official_source_rights_review_required_for_external_bulk_redistribution
M132103,132103,Energy Manager,en-MY,MASCO 2020,retained,high,132105,Energy Manager,ESCO 1.2.1; O*NET 31.0,2,13,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321,official_source_rights_review_required_for_external_bulk_redistribution
M132104,132104,Production Manager (Manufacturing),en-MY,MASCO 2020,retained,medium,132102,"Production and Operation Manager, Manufacturing",ESCO 1.2.1; O*NET 31.0; NOC 2021 Version 1.0; OSCA 2024 Version 1.0,4,14,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320,official_source_rights_review_required_for_external_bulk_redistribution
M132105,132105,Ship Hull Manager,en-MY,MASCO 2020,retained,high,132108,Ship Hull Manager,ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321,official_source_rights_review_required_for_external_bulk_redistribution
M132106,132106,Mechanical Manager,en-MY,MASCO 2020,retained,high,132109,Mechanical Manager,ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321,official_source_rights_review_required_for_external_bulk_redistribution
M132107,132107,Welding Manager,en-MY,MASCO 2020,retained,high,132110,Welding Manager,ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321,official_source_rights_review_required_for_external_bulk_redistribution
M132108,132108,Oil Mill Manager,en-MY,MASCO 2020,retained,high,132111,Oil Mill Manager,ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321,official_source_rights_review_required_for_external_bulk_redistribution
M132109,132109,Manager (Halal Food Manufacturing),en-MY,MASCO 2020,retained,high,132112,"Manager, Halal Food Manufacturing",ESCO 1.2.1; NOC 2021 Version 1.0,2,11,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321,official_source_rights_review_required_for_external_bulk_redistribution
