role_id,masco_code,role_title,expected_questions,actual_questions,expected_global_matches_minimum,actual_global_matches,actual_global_anchors,linked_open_qa_records,qa_status
M226301,226301,Occupational Safety and Health Adviser,12,12,1,4,14,0,PASS
M226302,226302,Competent Person (CP) - Assessor,12,12,1,1,6,0,PASS
M226303,226303,Competent Person (CP) - Waste Management,12,12,1,1,6,0,PASS
M226304,226304,Building Auditor,12,12,1,1,6,0,PASS
M226305,226305,Halal Executive,12,12,1,1,6,0,PASS
M226306,226306,Food and Drinks Technologist,12,12,1,3,14,0,PASS
M226307,226307,Landfill Engineer,12,12,1,1,6,0,PASS
M226308,226308,Competent Person (CP) - Major Hazard,12,12,1,1,6,0,PASS
M226310,226310,Ergonomist,12,12,1,1,6,0,PASS
M226311,226311,Authorised Gas Tester and Entry Supervisor,12,12,1,1,6,0,PASS
M226312,226312,Environmental Health Officer Grade U9,12,12,1,2,10,0,PASS
M226401,226401,Orthopaedic Physical Therapist,12,12,1,2,13,0,PASS
M226402,226402,Medical Rehabilitation Officer Grade U9,12,12,1,1,6,0,PASS
M226501,226501,Dietitian,12,12,1,2,10,0,PASS
M226502,226502,Dietetics Officer Grade U9,12,12,1,1,6,0,PASS
M226503,226503,Food Preparation Officer Grade C9,12,12,1,1,6,0,PASS
M226601,226601,Audiologist,12,12,1,3,14,0,PASS
M226602,226602,Speech Therapist,12,12,1,1,6,0,PASS
M226603,226603,Orthoepist,12,12,1,1,6,0,PASS
M226701,226701,Optometrist,12,12,1,4,14,0,PASS
M226702,226702,Optometry Officer Grade U9,12,12,1,1,6,0,PASS
M226902,226902,Radiographer Grade U9,12,12,1,1,6,0,PASS
M226903,226903,Instructor Grade U9,12,12,1,1,6,0,PASS
M231104,231104,Dental Lecturer Grade DUG13P,12,12,1,1,6,0,PASS
M231107,231107,Pharmacy Lecturer Grade DUF11,12,12,1,1,6,0,PASS
M232101,232101,Vocational Teacher,12,12,1,2,10,0,PASS
M238101,238101,Skills Training Trainer,12,12,1,1,6,0,PASS
M238102,238102,Vocational Training Officer Grade DV9,12,12,1,1,6,0,PASS
M238103,238103,Vocational Training Officer Grade DV10,12,12,1,1,6,0,PASS
M238104,238104,Vocational Training Officer Grade DV12,12,12,1,1,6,0,PASS
M238105,238105,Vocational Training Officer Grade DV13,12,12,1,1,6,0,PASS
M238106,238106,Vocational Training Officer Grade DV14,12,12,1,1,6,0,PASS
M238107,238107,"Assistant Vocational Training Officer Grade DV5, DV6, DV7, DV8",12,12,1,1,6,0,PASS
M239301,239301,Software Trainer,12,12,1,1,6,8,PASS
M242102,242102,Operation Research Analyst,12,12,1,3,14,0,PASS
M242401,242401,Staff Training Officer,12,12,1,1,6,0,PASS
M242601,242601,Agro-Based Biotech Food Researcher,12,12,1,1,6,0,PASS
M242602,242602,Aquaculture Biotech Researcher,12,12,1,1,6,0,PASS
M242603,242603,Research and Development Executive,12,12,1,2,10,0,PASS
M242604,242604,Research Officer,12,12,1,1,6,0,PASS
M242606,242606,Research Officer Grade Q9,12,12,1,1,6,0,PASS
