"role_id","masco_code","role_title","candidate_rank","candidate_esco_code","candidate_esco_title","candidate_esco_uri","retrieval_score","title_cosine","profile_cosine","matched_esco_label","exact_normalized_label","same_four_digit_group","selected_primary","query_masco_version","score_is_probability"
"M363305","363305","Library Technician","3","3141.2","Scientific Laboratory Technician","http://data.europa.eu/esco/occupation/4fef1907-cf82-413b-841a-02ef57e299a6","0.672501","0.719729","0.513383","Scientific Laboratory Technician","false","false","false","2020","false"
"M363305","363305","Library Technician","4","7312.2","Instrument Technician","http://data.europa.eu/esco/occupation/72f4abfe-5337-49be-b9b8-32096fc2ca1f","0.662504","0.66997","0.535115","Guitar Technician","false","false","false","2020","false"
"M363305","363305","Library Technician","5","3141.2.3","Biology Technician","http://data.europa.eu/esco/occupation/31cc4199-703c-4f8a-9b46-a2070a6d35df","0.662251","0.694606","0.491283","Wildlife Laboratory Technician","false","false","false","2020","false"
"M363305","363305","Library Technician","6","7422.4","Radio Technician","http://data.europa.eu/esco/occupation/35efc04c-429a-407e-a00a-f07fd03c2743","0.660979","0.678419","0.526501","Radio Technician","false","false","false","2020","false"
"M363305","363305","Library Technician","7","3111.1","Chemistry Technician","http://data.europa.eu/esco/occupation/87775d69-ae88-449e-ad71-6f9875711816","0.657074","0.686712","0.500925","Chemistry Technician","false","false","false","2020","false"
"M363305","363305","Library Technician","8","3111.11","Physics Technician","http://data.europa.eu/esco/occupation/a9bcc9e0-5be7-47a0-818b-acad10fe90d9","0.652438","0.691549","0.472102","Physics Laboratory Technician","false","false","false","2020","false"
"M363305","363305","Library Technician","9","7231.10","Vehicle Technician","http://data.europa.eu/esco/occupation/4ad4024e-d1d3-4dea-b6d1-2c7948111dce","0.646771","0.662769","0.517353","LGV Technician","false","false","false","2020","false"
"M363305","363305","Library Technician","10","3512.4","ICT Technician","http://data.europa.eu/esco/occupation/3e7bf729-4442-4b9f-ad5e-83111963795c","0.645984","0.6533","0.526051","IT Technician","false","false","false","2020","false"
"M363306","363306","Museum Technician","1","2621.2","Collection Manager","http://data.europa.eu/esco/occupation/96be6ac3-5932-4bfc-933d-84b267d0d486","0.985","0.400052","0.666505","Museum Technician","true","false","false","2020","false"
"M363306","363306","Museum Technician","2","3433.1","Art Handler","http://data.europa.eu/esco/occupation/6040c941-ab83-44b2-84e7-5cbfa1eafcdc","0.985","0.376836","0.665455","Museum Technician","true","false","true","2020","false"
