"role_id","role_title","masco_code","masco_source_page_pdf","rated_task_count","remote_capable_tasks","remote_onsite_tasks","remote_unclear_tasks","remote_pre_rating","ai_exposable_tasks","ai_exposure_share","ai_pre_rating","independent_raters_required","reconciliation_status","release_use","task_source_level","source_url","source_current_role_id","source_current_masco_code","source_current_role_title","source_current_url","masco_reference_version","masco2020_remap_method","masco2020_remap_confidence","masco2020_source_pdf_page","masco2020_source_url","profile_basis","source_current_task_source_level"
"M132416","Manager, Halal Logistics Operation","132416","322","9","1","0","8","medium","0","0.0","low","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1324-05","M132405","132405","Halal Logistics Operation Manager","https://emasco.mohr.gov.my/masco/1324-05","2020","title_variant","high","322","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=322","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M151101","Chief Information Officer","151101","323","9","8","0","1","medium","7","0.7778","high","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1511-01","M151101","151101","Chief Information Officer/Chief Data Officer/Chief Information Security Officer","https://emasco.mohr.gov.my/masco/1511-01","2020","combined_title_split","medium","323","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M151102","Chief data officer","151102","323","9","8","0","1","medium","7","0.7778","high","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1511-01","M151101","151101","Chief Information Officer/Chief Data Officer/Chief Information Security Officer","https://emasco.mohr.gov.my/masco/1511-01","2020","combined_title_split","medium","323","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M151103","Chief Information Security Officer","151103","323","9","8","0","1","medium","7","0.7778","high","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1511-01","M151101","151101","Chief Information Officer/Chief Data Officer/Chief Information Security Officer","https://emasco.mohr.gov.my/masco/1511-01","2020","combined_title_split","medium","323","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M151106","Information Systems Manager","151106","323","10","4","0","6","medium","2","0.2","low","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1511-02","M151102","151102","Information Systems Manager","https://emasco.mohr.gov.my/masco/1511-02","2020","exact_normalized_title","high","323","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M151108","Village Community Center Manager","151108","323","10","4","0","6","medium","6","0.6","high","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1511-03","M151103","151103","Village Community Center Manager (Information Technology)","https://emasco.mohr.gov.my/masco/1511-03","2020","reviewed_functional_equivalent","medium","323","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M151112","Application Development Manager","151112","323","9","5","0","4","medium","3","0.3333","medium","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1511-13","M151113","151113","Software and Applications Manager","https://emasco.mohr.gov.my/masco/1511-13","2020","combined_title_split","medium","323","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M151113","Data Operations Manager","151113","323","8","8","0","0","high","8","1.0","high","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1511-18","M151118","151118","Data Manager","https://emasco.mohr.gov.my/masco/1511-18","2020","reviewed_functional_equivalent","medium","323","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M151116","Internet Service Provider","151116","323","8","2","0","6","medium","1","0.125","low","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1511-04","M151104","151104","Internet Service Provider","https://emasco.mohr.gov.my/masco/1511-04","2020","exact_normalized_title","high","323","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M151117","Network Manager","151117","323","10","6","0","4","medium","3","0.3","medium","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1511-05","M151105","151105","Network/Communications/Infrastructure Manager","https://emasco.mohr.gov.my/masco/1511-05","2020","combined_title_split","medium","323","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M151119","Audio Visual Manager","151119","323","8","3","1","4","low","2","0.25","low","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1511-06","M151106","151106","Audio Visual Manager","https://emasco.mohr.gov.my/masco/1511-06","2020","exact_normalized_title","high","323","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M151122","Information Technology Project Manager","151122","323","9","1","0","8","medium","1","0.1111","low","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1511-07","M151107","151107","Information Technology Project Manager","https://emasco.mohr.gov.my/masco/1511-07","2020","exact_normalized_title","high","323","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M151123","Information Technology Infrastructure Manager","151123","323","10","6","0","4","medium","3","0.3","medium","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1511-05","M151105","151105","Network/Communications/Infrastructure Manager","https://emasco.mohr.gov.my/masco/1511-05","2020","combined_title_split","medium","323","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
"M151124","Information Technology Programme Manager","151124","323","9","2","0","7","medium","7","0.7778","high","2","pending","research_pre_rating_only","inherited_current_emasco_profile","https://emasco.mohr.gov.my/masco/1511-08","M151108","151108","Information Technology Programme Manager","https://emasco.mohr.gov.my/masco/1511-08","2020","exact_normalized_title","high","323","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","exact_occupation"
