"source_current_role_id","source_current_masco_code","source_current_role_title","status","masco2020_role_ids","d13_esco_code","d13_esco_title","d11_esco_code","d11_esco_comparison_codes","d11_esco_comparison_titles","previous_d13_esco_code","source_mapping_relation","source_mapping_confidence"
"M214902","214902","Marine Salvage Engineer","retained","M214902","2144.1.10","Marine Engineer","","","","","partial_proxy","low"
"M214904","214904","Industrial Health and Safety Engineer","retained","M214907","2149.10","Health and Safety Engineer","","","","2149.10","close_match","medium"
"M214905","214905","Field Service Engineer","retained","M214913","2144.1.6","Equipment Engineer","","","","","partial_proxy","low"
"M214906","214906","Research Engineer","retained","M214918","2149.2.8","Research Engineer","","","","2149.2.8","close_match","high"
"M214907","214907","Biomedical Engineer","retained","M214919","2149.5.1","Biomedical Engineer","","","","2149.5.1","close_match","high"
"M214908","214908","Optical Engineer","retained","M214920","2149.12","Optical Engineer","","","","2149.12","close_match","high"
"M214909","214909","Quality Assurance/Quality Control Inspection Engineer (QA/QC)","retained","M214921","2149.2.7","Quality Engineer","","","","","partial_proxy","low"
"M214910","214910","Commissioning Engineer","retained","M214923","2149.6","Commissioning Engineer","","","","2149.6","close_match","high"
"M214911","214911","Nano Engineer","excluded_from_active_dataset","","2149.11.1","Nanoengineer","","","","","close_match","medium"
"M214913","214913","Factories and Machinery Inspector Grade J9","retained","M214922","3257.5","Occupational Health and Safety Inspector","","","","","partial_proxy","low"
"M215101","215101","Electrical Engineer","retained","M215102","2151.1","Electrical Engineer","","","","2151.1","close_match","high"
"M215102","215102","Electrical Energy Auditor","retained","M215135","3112.5","Energy Analyst","","","","","broader_proxy","medium"
"M215103","215103","Electrical Superintendent","retained","M215136","3123.1.11","Electrical Supervisor","","","","","close_match","medium"
"M215201","215201","Electronics Engineer","retained","M215202","2152.1","Electronics Engineer","","","","2152.1","close_match","high"
"M215202","215202","Integrated Circuit (IC) Package Assembly Process Engineer","retained","M215236","2152.1.7","Microelectronics Engineer","","","","","broader_proxy","medium"
"M215301","215301","Telecommunications Engineer","retained","M215301","2153.1","Telecommunications Engineer","","","","2153.1","close_match","high"
"M215302","215302","Network and Systems Engineer","retained","M215323","2523.3","ICT Network Engineer","","","","","close_match","medium"
"M215303","215303","Acoustic Engineer","retained","M215330","2149.1","Acoustical Engineer","","","","","close_match","medium"
"M216101","216101","Architect","retained","M216102","2161.1","Architect","","","","2161.1","close_match","high"
"M216102","216102","Architect Grade J9/J10","retained","M216101","2161.1","Architect","","","","","close_match","high"
"M216201","216201","Landscape Architect","retained","M216202","2162.1","Landscape Architect","","","","2162.1","close_match","high"
"M216202","216202","Landscape Architect Grade J9","retained","M216201","2162.1","Landscape Architect","","","","","close_match","high"
"M216301","216301","Commercial Products Designer","retained","M216301","2163.1","Industrial Designer","","","","","partial_proxy","low"
"M216302","216302","Green Technology Design Professional","retained","M216326","2143.1","Environmental Engineer","","","","","broader_proxy","medium"
"M216401","216401","Town Planner","retained","M216402","2164.4","Urban Planner","","","","","close_match","medium"
"M216402","216402","Traffic Engineer","retained","M216404","2164.3","Transport Planner","","","","2164.3","close_match","medium"
"M216403","216403","Urban and Regional Planner","retained","M216407","2164.4","Urban Planner","","","","","partial_proxy","low"
"M216404","216404","Urban and Rural Planning Officer Grade J9","retained","M216401","2164.4","Urban Planner","","","","","partial_proxy","low"
"M216501","216501","Cartographer","retained","M216503","2165.2","Cartographer","","","","2165.2","close_match","high"
"M216502","216502","Surveyor","retained","M216507","2165.4","Land Surveyor","","","","2165.4","close_match","medium"
"M216503","216503","Geospatialist Grade J9","retained","M216501","2165.3","Geographic Information Systems Specialist","","","","","partial_proxy","low"
"M216504","216504","Surveyor Grade J9","retained","M216502","2165.4","Land Surveyor","","","","","close_match","medium"
"M216602","216602","Poster Designer","retained","M363204","2166.9","Graphic Designer","","","","","broader_proxy","medium"
"M216603","216603","Designer Grade B9","retained","M216601","2166.9","Graphic Designer","","","","","broader_proxy","medium"
"M217101","217101","Marine Engineer","retained","M217102","2144.1.10","Marine Engineer","","","","","close_match","high"
"M217102","217102","Naval Architect","retained","M217105","2144.1.14","Naval Architect","","","","","close_match","high"
"M217201","217201","Hovercraft Pilot","retained","M217203","3152.3","Maritime Pilot","","","","","partial_proxy","low"
"M217202","217202","Port Captain","retained","M217205","4323.11","Port Coordinator","","","","","partial_proxy","low"
"M217203","217203","Ship Navigator","retained","M217207","3152.1","Deck Officer","","","","","broader_proxy","medium"
"M217204","217204","Marine Superintendent (Deck)","retained","M217210","3152.1","Deck Officer","","","","","broader_proxy","medium"
"M217205","217205","Shipping Executive","retained","M217211","3331.2.2","Shipping Agent","","","","","partial_proxy","low"
