"label_kind","reference","raw_label","title_case_label","changed"
"alias_display","http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05","KDevelop 4.6.0","KDevelop 4.6.0","false"
"alias_display","http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05","KDevelop 4.7.0","KDevelop 4.7.0","false"
"alias_display","http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05","KDevelop 5.0.0","KDevelop 5.0.0","false"
"alias_display","http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05","KDevelop platform","KDevelop Platform","true"
"alias_display","http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05","kdevplatform","Kdevplatform","true"
"alias_display","http://data.europa.eu/esco/skill/0138fdc7-edbb-485c-9aa9-544f723eb62f","carry out part purchasing","Carry out Part Purchasing","true"
"alias_display","http://data.europa.eu/esco/skill/0138fdc7-edbb-485c-9aa9-544f723eb62f","carry out parts purchases","Carry out Parts Purchases","true"
"alias_display","http://data.europa.eu/esco/skill/0138fdc7-edbb-485c-9aa9-544f723eb62f","carry out parts purchasing","Carry out Parts Purchasing","true"
"alias_display","http://data.europa.eu/esco/skill/0138fdc7-edbb-485c-9aa9-544f723eb62f","carrying out parts purchasing","Carrying out Parts Purchasing","true"
"alias_display","http://data.europa.eu/esco/skill/0138fdc7-edbb-485c-9aa9-544f723eb62f","complete parts purchasing","Complete Parts Purchasing","true"
"alias_display","http://data.europa.eu/esco/skill/0138fdc7-edbb-485c-9aa9-544f723eb62f","make parts purchasing","Make Parts Purchasing","true"
"alias_display","http://data.europa.eu/esco/skill/0138fdc7-edbb-485c-9aa9-544f723eb62f","oversee parts purchasing","Oversee Parts Purchasing","true"
"alias_display","http://data.europa.eu/esco/skill/0138fdc7-edbb-485c-9aa9-544f723eb62f","undertake parts purchasing","Undertake Parts Purchasing","true"
"alias_display","http://data.europa.eu/esco/skill/013a64b9-5e74-4f7f-af5b-9ec76715238b","assess offshore constructions","Assess Offshore Constructions","true"
"alias_display","http://data.europa.eu/esco/skill/013a64b9-5e74-4f7f-af5b-9ec76715238b","check offshore constructions","Check Offshore Constructions","true"
"alias_display","http://data.europa.eu/esco/skill/013a64b9-5e74-4f7f-af5b-9ec76715238b","evaluate offshore constructions","Evaluate Offshore Constructions","true"
"alias_display","http://data.europa.eu/esco/skill/013a64b9-5e74-4f7f-af5b-9ec76715238b","examine offshore constructions","Examine Offshore Constructions","true"
"alias_display","http://data.europa.eu/esco/skill/016cee6c-9e95-466c-bd51-d63327751aa2","analyse railway operations","Analyse Railway Operations","true"
"alias_display","http://data.europa.eu/esco/skill/016cee6c-9e95-466c-bd51-d63327751aa2","appraise railway operations","Appraise Railway Operations","true"
"alias_display","http://data.europa.eu/esco/skill/016cee6c-9e95-466c-bd51-d63327751aa2","conduct analysis of railway operations","Conduct Analysis of Railway Operations","true"
"alias_display","http://data.europa.eu/esco/skill/016cee6c-9e95-466c-bd51-d63327751aa2","conduct evaluation of railway performance","Conduct Evaluation of Railway Performance","true"
"alias_display","http://data.europa.eu/esco/skill/016cee6c-9e95-466c-bd51-d63327751aa2","conduct review of railway performance","Conduct Review of Railway Performance","true"
"alias_display","http://data.europa.eu/esco/skill/016cee6c-9e95-466c-bd51-d63327751aa2","conduct study on railway operations and performance","Conduct Study on Railway Operations and Performance","true"
