role_id,role_title,masco_code,masco_unit_group_code,candidate_rank,candidate_esco_code,candidate_esco_title,candidate_esco_uri,matched_label,matched_label_type,title_similarity,candidate_status,mapping_status,review_decision,reviewer,review_notes
M132103,Energy Manager,132103,1321,3,1321.2.1.5,leather finishing operations manager,http://data.europa.eu/esco/occupation/a2bc52c2-9802-4929-a95c-6379d9f19204,drying manager,altLabel,0.714286,review_only_not_used,no_unique_exact_esco_title_match,,,
M132104,Production Manager (Manufacturing),132104,1321,1,1321.2.1,industrial production manager,http://data.europa.eu/esco/occupation/eb9479c6-5fdf-4f45-ace4-28b547b8c7e5,production manufacturing manager,altLabel,0.750000,review_only_not_used,no_unique_exact_esco_title_match,,,
M132104,Production Manager (Manufacturing),132104,1321,2,1321.2.1.1,chemical production manager,http://data.europa.eu/esco/occupation/0d21a30d-25d9-427b-b8e4-339408425ff5,production manager of chemicals,altLabel,0.666667,review_only_not_used,no_unique_exact_esco_title_match,,,
M132104,Production Manager (Manufacturing),132104,1321,3,1321.2.1.3,food production manager,http://data.europa.eu/esco/occupation/a7d6a377-3d3b-41cf-9301-f4a0a7ad3d96,production manager food and beverages,altLabel,0.666667,review_only_not_used,no_unique_exact_esco_title_match,,,
M132105,Ship Hull Manager,132105,1321,1,1321.2.1.8,metal production manager,http://data.europa.eu/esco/occupation/0368c4d4-94cf-4168-a84d-283a25880e0d,site manager,altLabel,0.689655,review_only_not_used,no_unique_exact_esco_title_match,,,
M132105,Ship Hull Manager,132105,1321,2,1321.2.1.5,leather finishing operations manager,http://data.europa.eu/esco/occupation/a2bc52c2-9802-4929-a95c-6379d9f19204,finishing manager,altLabel,0.647059,review_only_not_used,no_unique_exact_esco_title_match,,,
M132105,Ship Hull Manager,132105,1321,3,1321.2.1.4,footwear production manager,http://data.europa.eu/esco/occupation/6482664d-48f4-4ff4-9346-584ac0e2f729,fashion production manager,altLabel,0.604651,review_only_not_used,no_unique_exact_esco_title_match,,,
M132106,Mechanical Manager,132106,1321,1,1321.2.1.7,metallurgical manager,http://data.europa.eu/esco/occupation/45517bc3-0887-416d-95fe-6ace1b90bddd,metallurgical manager,preferredLabel,0.769231,review_only_not_used,no_unique_exact_esco_title_match,,,
M132106,Mechanical Manager,132106,1321,2,1321.2.1.1,chemical production manager,http://data.europa.eu/esco/occupation/0d21a30d-25d9-427b-b8e4-339408425ff5,chemical process manager,altLabel,0.666667,review_only_not_used,no_unique_exact_esco_title_match,,,
M132106,Mechanical Manager,132106,1321,3,1321.2.1.8,metal production manager,http://data.europa.eu/esco/occupation/0368c4d4-94cf-4168-a84d-283a25880e0d,facility manager,altLabel,0.647059,review_only_not_used,no_unique_exact_esco_title_match,,,
