feature,idf
ace,5.736198448394496
ace ,6.0238805208462765
ach,1.6010318916521395
ach ,4.819907716520341
ache,1.6714543559486854
achel,1.733421079697885
acher,3.625985248047906
achi,3.0449553656086668
achin,3.0449553656086668
ack,4.349904087274605
ack ,5.736198448394496
"ack,",6.0238805208462765
"ack, ",6.0238805208462765
acka,4.724597536716015
ackag,4.724597536716015
act,2.217218031075957
act ,5.736198448394496
acti,2.343369316402857
actio,3.133508762950112
actis,4.9252682321781664
activ,2.963609726154714
acts,4.28927946545817
acts ,4.483435479899128
"acts,",5.736198448394496
actu,6.0238805208462765
actur,6.0238805208462765
acy,4.483435479899128
acy ,4.483435479899128
ad ,5.513054897080286
ade,3.0116189453410747
adem,3.0449553656086668
ademi,3.0449553656086668
ader,6.0238805208462765
ader ,6.0238805208462765
adi,5.330733340286331
